title,country,release_year,rating,duration_min,genre,description,platform
Snervous Tyler Oakley,United States,2015,PG-13,83,"Documentaries, LGBTQ Movies","The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.",Netflix
Tears of the Sun,United States,2003,R,121,"Action & Adventure, Dramas","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",Netflix
The Blue Lagoon,United States,1980,R,105,"Dramas, Romantic Movies","Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.",Netflix
The Golden Child,United States,1986,PG-13,94,"Action & Adventure, Comedies",A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,Netflix
The Guns of Navarone,"United Kingdom, United States",1961,TV-14,156,"Action & Adventure, Classic Movies","During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",Netflix
The Interview,United States,2014,R,112,"Action & Adventure, Comedies",Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,Netflix
The Nutty Professor,United States,1996,PG-13,95,"Comedies, Romantic Movies","After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance.",Netflix
The Nutty Professor II: The Klumps,NULL,2000,PG-13,107,"Comedies, Romantic Movies","After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation.",Netflix
Welcome Home Roscoe Jenkins,United States,2008,PG-13,114,Comedies,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become.",Netflix
In the Line of Fire,United States,1993,R,129,"Action & Adventure, Classic Movies","A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.",Netflix
Untold: Crime & Penalties,NULL,2021,TV-MA,86,"Documentaries, Sports Movies","They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good.",Netflix
2 Alone in Paris,France,2008,TV-MA,97,"Comedies, International Movies","A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",Netflix
Thimmarusu,India,2021,TV-14,125,"Dramas, International Movies","Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.",Netflix
Wind River,"United Kingdom, Canada, United States",2017,R,107,"Dramas, Independent Movies","A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.",Netflix
C Kkompany,India,2008,TV-14,127,"Action & Adventure, Comedies, International Movies","Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous.",Netflix
EMI: Liya Hai To Chukana Padega,India,2008,TV-14,128,"Comedies, Dramas, International Movies",A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,Netflix
"He's All That",NULL,2021,TV-14,92,"Comedies, Romantic Movies","An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That.""",Netflix
Koi Aap Sa,India,2006,TV-14,135,"Comedies, Dramas, International Movies","Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her.",Netflix
Krishna Cottage,India,2004,TV-14,124,"Action & Adventure, Horror Movies, International Movies",True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.,Netflix
Kucch To Hai,India,2003,TV-14,136,"Dramas, International Movies, Thrillers","A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge.",Netflix
Kyaa Kool Hai Hum,India,2005,TV-MA,165,"Comedies, International Movies, Music & Musicals","Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck.",Netflix
Kyaa Kool Hain Hum 3,India,2016,TV-MA,124,"Comedies, International Movies","When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father.",Netflix
Kyaa Super Kool Hain Hum,India,2012,TV-MA,136,"Comedies, International Movies",An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.,Netflix
Kyo Kii... Main Jhuth Nahin Bolta,India,2001,TV-14,150,"Comedies, International Movies, Sci-Fi & Fantasy","The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.",Netflix
"LSD: Love, Sex Aur Dhokha",India,2010,TV-MA,112,"Dramas, Independent Movies, International Movies",This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.,Netflix
Mission Istaanbul: Darr Ke Aagey Jeet Hai,India,2008,TV-14,119,"Action & Adventure, International Movies, Music & Musicals",A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.,Netflix
Once Upon a Time in Mumbaai,India,2010,TV-14,133,"Dramas, International Movies, Music & Musicals","Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime.",Netflix
Once Upon a Time in Mumbai Dobaara!,India,2013,TV-14,142,"Dramas, International Movies, Music & Musicals","This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control.",Netflix
Ragini MMS,India,2011,TV-MA,93,"Horror Movies, International Movies",A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.,Netflix
Ragini MMS 2,India,2014,TV-MA,113,"Horror Movies, International Movies","The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.",Netflix
SAS: Rise of the Black Swan,NULL,2021,R,124,"Action & Adventure, International Movies","A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train.",Netflix
Shootout at Lokhandwala,India,2007,TV-MA,116,"Action & Adventure, Dramas, International Movies","Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight.",Netflix
Shor In the City,India,2011,TV-14,106,"Comedies, Dramas, Independent Movies","When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger.",Netflix
The Dirty Picture,India,2011,TV-14,145,"Comedies, Dramas, International Movies","After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol.",Netflix
"Bob Ross: Happy Accidents, Betrayal & Greed",NULL,2021,TV-14,93,Documentaries,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,Netflix
Really Love,United States,2020,TV-MA,95,"Dramas, Independent Movies, Romantic Movies",A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.,Netflix
The November Man,"United States, United Kingdom",2014,R,108,Action & Adventure,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies.",Netflix
