title,country,release_year,rating,duration_min,genre,description,platform
The Genesis Code,NULL,2012,PG,71,"Drama, Romance, Special Interest","Kerry, a college student, aspiring journalist and Born Again Christian strikes up a budding romance with fellow undergrad Blake, a popular collegiate hockey superstar.",Prime Video
The Firm,NULL,2009,18+,89,"Comedy, Drama, Suspense",Football hooligans organize themselves into firms that represent their favorite team.,Prime Video
The Death Artist,NULL,1995,R,79,"Comedy, Horror, Suspense","Walter Paisley, a busboy at a cappuccino bar called the Jabberjaw, is praised as a genius after he kills his landlady's cat and covers it in plaster. Pressured to produce more work, he goes after bigger subjects.",Prime Video
The Blazing Sun,NULL,1950,NR,70,"Special Interest, Western","Gene Autry and pal Mike hunt bank robbers Al Bartlett and Trot Lucas. To throw off his pursuers, Bartlett kills his own twin brother and Lucas hoping that Gene and the Sheriff will believe him dead.",Prime Video
The Believers,NULL,1987,R,114,Suspense,"Widowed police psychologist Cal Jamison (Martin Sheen) is forced to deal with a series of ritualistic child murders perpetrated by a rogue cult. As the cult's connections to corporate oligarchs emerge, Cal and his family are put at terrible risk.",Prime Video
The Babysitters,NULL,2007,18+,89,"Comedy, Drama",A teenager turns her babysitting service into a call-girl service for married guys after fooling around with one of her customers.,Prime Video
Texans Never Cry,NULL,1951,NR,67,"Special Interest, Western","Gene Autry learns that a family’s money was used to buy counterfeit Mexican lottery tickets, and he has to track down the counterfeiters. Gene faces long odds when a killer comes to do away with him.",Prime Video
Swallows & Amazons,NULL,2017,7+,97,"Adventure, Kids",Four children (The Swallows) go on a sailing adventure to an island where they encounter a rival group of kids (The Amazons). Rivalry quickly turns to comradery when pirates threaten all they hold dear.,Prime Video
Suck,Canada,2009,R,91,"Arts, Entertainment, and Culture, Comedy, Horror","A rock'n'roll vampire spoof about a down and out band, The Winners, that will do anything for a record deal. When their disgruntled manager tells them that they are getting ""long in the tooth"", he doesn't know how prophetic he is.",Prime Video
Starbuck,NULL,2011,R,109,"Comedy, Drama","Just when David Wosniak decides to finally take control of his life, this eternal 42 year old teenager discovers that he's the biological father of 533 children. Suddenly, his life is much more complicated that he anticipated.",Prime Video
Sorority Row,NULL,2009,R,101,"Horror, Suspense","They're sisters to the bloody end! After a prank goes fatally wrong, party-hearty sorority girls hide the corpse. Months later, a mysterious killer won't let the past stay buried.",Prime Video
Sincerity,NULL,2020,13+,82,"Comedy, Music Videos and Concerts","To seduce Louise, a young actress, Jean decides to shoot a film. He invites two beautiful muses to join him, Mia and Alma, together with Jimmy, a famous jazz pianist, and Guillaume, his long-time friend and philosopher who comes with a brainy neuroscientist. Day by day, the team imagines the script of the film.",Prime Video
Saul: The Journey to Damascus,NULL,2014,13+,86,Drama,"This epic Biblical movie brings to life one of early Christianity's most notable figures Saul of Tarsus. As a dedicated leader, Saul fights to defend his faith and traditions - earning him the title Butcher of Tarsus. While on a mission, Saul is blinded, forced to re-evaluate his beliefs and transformed by the forgiveness of a woman. But joining the Christian ranks has deadly consequences...",Prime Video
Revelation Trail,NULL,2014,R,106,"Drama, Horror, Western","A frontier preacher's life is destroyed when a gruesome power consumes the land; he now must make the choice to give in to ruin, or find his purpose in the fight against the mysterious undead. Joined by the town lawman, the two men learn the extremes they're willing to go to in order to make it to the next day, as well as the depths people will go to when they truly believe in something.",Prime Video
PrimeVideoQAMovie11 US,NULL,2015,G,0,"Action, Drama",PrimeVideoQAMovie11 US Title Summary Goes here total of Summary400,Prime Video
No Clue,NULL,2013,13+,96,Comedy,"When a beautiful woman named Kyra accidentally stumbles into Leo Falloon's office and mistakes him for a private investigator, he doesn't exactly set the record straight. He instead agrees to help locate her missing brother - one of Vancouver's top video game designers. Leo's investigation leads him into the surprisingly dangerous and cutthroat world of the video game industry.",Prime Video
Muqaddar Ka Faisla,NULL,1987,13+,172,International,"When Krishnakant, a virtuous Hindu pandit, is falsely accused of theft and rape, he is arrested and swiftly imprisoned and his family is left penniless. Years later, after serving his sentence, he is released from prison, his only goal is to exact retribution for his framing, and yet he has no money, resources or the ruthlessness to combat the conniving and manipulative culprits who framed him.",Prime Video
Morphle - The Magical World of Mila and Morphle,NULL,2019,ALL,52,"Animation, Kids","In this compilation of My Magic Pet Morphle cartoon, Mila and Morphle explore mystical universes with dinosaurs, visit the emotional island, and embark on a journey to the mirror world!",Prime Video
Madeline,NULL,1998,PG,89,Kids,"Fearless Madeline (Hatty Jones) is the heroine of this family comedy about a Parisian schoolgirl and her classmates. Based on Ludwig Bemelman's classic book series.",Prime Video
Love Story,NULL,1970,PG,100,"Comedy, Drama, Romance","The story of a young couple who cross social barriers, marry and ultimately face the greatest crisis of all.",Prime Video
Loser,NULL,2021,16+,41,Drama,"Loser is a short film, that sheds light on the changing perception with regards to sex in a metropolitan city. It is about a young girl who gets raped because of her perception towards sex. What the girl does next, dismantles all preconceived notions, the society has formed about women's sexuality in the modern era, and depicts how women's attitude have changed over time.",Prime Video
Kill Chain,NULL,2019,R,91,"Action, Suspense","A hotel room shootout between two assassins kicks off a long night where bodies fall like dominoes, as we follow a chain of crooked cops, gangsters, hitmen, a femme fatale and an ex-mercenary through a relay of murder, betrayal, revenge and redemption.",Prime Video
"John Lauren's War",NULL,2017,13+,64,"Action, Drama","John Laurens, born into a powerful slave-holding family in South Carolina, as a young, passionate Lt. Colonel, fights the British as a top aide to General Washington, while fighting slavery 90 years before it ended in America.",Prime Video
Jarab,NULL,2013,13+,113,"Action, Drama",Ajay and Kavya are working in a corporate office of Sameer. Sameer loves Kavya but she loves Ajay. Kavya and her friend Symphia plan a trip to Goa where they get kidnapped.Ajay then decides to investigate the matter along with police officer Vikranth.,Prime Video
Introspectum Motel,NULL,2021,18+,88,"Horror, Suspense","Two strangers, Philippe and Paul head down a dark and twisted path inside themselves, as they uncover the connection between them. Together, they are forced to confront their choices, their shared history, and ultimately their humanity.",Prime Video
Indian Territory,NULL,1950,13+,70,Western,"Following the Civil War, Cavalry Sergeant Gene Autry is sent to break up a series of Indian raids upon settlers, led by a renegade Austrian, who wishes to use the Indians to build an empire.",Prime Video
Henry & Me,NULL,2016,PG,67,"Animation, Kids","A young boy battling illness is taken on a magical adventure by a stranger named Henry. On their journey, the boy meets New York Yankee legends, both past and present, who give him lessons about baseball and life.",Prime Video
He Walked by Night,NULL,1948,13+,79,Suspense,"This film-noir piece, told in semi-documentary style, follows police on the hunt for a resourceful criminal who shoots and kills a cop.",Prime Video
Go to School and Learn with Blippi,NULL,2021,ALL,47,Kids,"Blippi is an educational kids show tailored for children ages 2-5 years old. In this wonderful 'Back to School' collection of videos for kids, Blippi travels to a variety of exciting places to learn about colors, vehicles, counting and so much more!",Prime Video
"Give 'Em Hell Malone",NULL,2009,R,97,"Action, Suspense",A tough as nails private investigator (Malone) squares off with gangsters and their thugs to protect a valuable secret. Malone goes through hell to protect the information but he dishes some hell as well...,Prime Video
Girl With a Pearl Earring,NULL,2003,PG-13,100,"Drama, Romance","Nominated for three Academy Awards, Girl With a Pearl Earring tells the imagined, intriguing and highly seductive story behind one of Vermeer's greatest and most enigmatic paintings.",Prime Video
Get Back Up,NULL,2020,16+,106,Documentary,"It's been a remarkable career for Blue October, but things certainly haven't always been easy. Struggles with substance abuse, treatment and recovery have all been well-documented in their songs. Get Back Up takes an unwavering look at the havoc that impacted Justin's life and everyone around him. A redemptive story that reminds us there is a path to rebuilding everything you've lost.",Prime Video
Gene Autry And The Mounties,NULL,1951,NR,71,"Special Interest, Western","Gene Autry is a marshal on a manhunt trying to recover U.S. gold stolen by Canadians who want to overthrow their government. Pursuing the bandits into the woods, Gene tries to recover the stolen gold!",Prime Video
Frankie & Alice,NULL,2014,R,101,Drama,"Frankie is a go-go dancer struggling with two very different personalities: a seven-year-old girl named Genius, and a Southern white racist. Inspired by a remarkable true story.",Prime Video
Four Weddings and a Funeral,NULL,1994,R,118,Comedy,"A reserved Englishman meets attractive American Carrie at a wedding and falls in love with her, but his inability to express his feelings seems to forestall any possibility of relationship - until they meet again and again.",Prime Video
Female Agents,NULL,2008,16+,112,"Action, Drama","May 1944. A five-woman commando unit parachutes into occupied France on a daring and dangerous mission to protect the secret of the D-Day Landings and eliminate Colonel Heindrich, the head of German counter-intelligence. Starring Sophie Marceau (The Party), Deborah François (Populaire) and Julie Depardieu.",Prime Video
Favourite Nursery Rhymes from Little Baby Bum,NULL,2019,ALL,34,Kids,"Enjoy this compilation of your favourite nursery rhymes from Little Baby Bum from 'If you're happy and you know it, Hickory Dickory dock to Pat a cake'",Prime Video
Eye of the Beholder,NULL,2000,R,102,"Drama, Suspense","The Eye (Ewan McGregor) is an intelligence agent whose current assignment is to track Joanna Eris (Ashley Judd), a woman suspected of blackmailing a senior government official. But the Eye soon learns that Eris is far more than a blackmailer. As he follows her, he becomes fascinated with what he sees. Soon his surveillance becomes a deadly obsession.",Prime Video
Ester Steinberg: Burning Bush,NULL,2021,18+,54,"Arts, Entertainment, and Culture, Comedy, Special Interest","In her postpartum pandemic special, comedian Ester Steinberg jokes about a risqué photoshoot and a wild bachelorette weekend, and shares stories from her first year of marriage, and giving birth in the epicenter of a global pandemic.",Prime Video
Dragon Day,NULL,2014,16+,96,"Drama, Science Fiction, Suspense","A family getaway to a mountain town turns deadly when China launches a massive cyberattack against the USA, forcing former NSA engineer Duke Evans to fight to save his wife and daughter in the New World Order.",Prime Video
Critical Care,NULL,1997,R,107,"Comedy, Drama",Werner Ernst is a young hospital resident who becomes embroiled in a legal battle between two half-sisters who are fighting over the care of their comatose father.,Prime Video
Copper Bill,United States,2020,16+,84,"Action, Drama, Suspense","Two thieves (AEW's Dustin Rhodes and Thom Hallum) attempt to steal 80 million dollars of hidden Texas drug money from the famed ranch belonging to a dead member of the Cowboy Mafia.",Prime Video
"Clive Barker's Lord of Illusions",NULL,1995,R,109,"Fantasy, Horror, Science Fiction","Scott Bakula (Quantum Leap) stars as a private detective who gets more than he bargains for when he encounters Philip Swan (Kevin J. O'Connor), a performer whose amazing illusions captivate the world. But are they really illusions? Harry isn't so sure..",Prime Video
Cell 213,NULL,2014,R,109,"Action, Suspense","Cell 213 becomes home to Michael Grey, a cocky young attorney, after a gruesome twist of circumstance lands him in the South River State Penitentiary, framed for the murder of a client. Unnatural forces are causing prisoners to 'off' themselves at abnormal rates and Michael soon discovers that matters of guilt and innocence are not as cut and dry as he would like to believe.",Prime Video
"Bruce Lee: The Man, The Myth",NULL,1976,18+,90,Drama,"A highly fictionalized biography of the famous Bruce Lee, this movie traces his college life, his marriage to Linda Lee, his relationship with his master, and his untimely death.",Prime Video
Blood and Chocolate,NULL,2007,PG-13,98,Horror,"Blood and Chocolate stars Agnes Bruckner (""24""), Hugh Dancy (""Basic Instinct 2,"") and Olivier Martinez (""Taking Lives"") and is directed by German independent film director Katja von Garnier (""Bandits""). The story takes place in modern day Bucharest and tells the tale of nineteen year old Vivian Gandillon (Bruckner), who has spent her life on the run from the truth that she is a werewolf.",Prime Video
Big Sky,NULL,2015,16+,96,"Action, Drama, Suspense","Mother and daughter, Dee and Hazel (Sedgwick and Thorne) go on a roadtrip to a desert facility to help Hazel deal with her agoraphobia. When gunmen and brothers Jesse and Pru (Grillo and Tveit) attack the pair, Hazel has to battle her fears so she and her mother can survive.",Prime Video
Beyond The Purple Hills,NULL,1950,16+,70,Western,"Gene Autry becomes the new Sheriff after bank robbers kill the former sheriff. When Judge Beaumont is murdered, evidence points to the judge's wild son. Believing the young man, Gene tries to help.",Prime Video
Being Taken,NULL,2020,13+,77,"Drama, Science Fiction","Alien Abduction. Is it a positive experience? A negative one? Is it even a real thing? With so many debatable cases, most of them years in the past, is it even possible to know the truth? Join Darcy Weir and Lee Lustig on another Occult Journey in Being Taken. Explore the rich and detailed history of supposed alien abductions and the most credible cases from a whole new perspective.",Prime Video
Bats,NULL,1999,PG-13,91,"Horror, Science Fiction, Suspense","Something is coming in the night. The dark air fills with the sound of flapping wings and menacing shrieks. The night has wings and fear takes flight. Swarms of genetically altered bats have descended upon a sleepy, small Texan town and no one is safe. The only hope to stop the growing tide of bloody devastation is a zoologist who studies bats, her assistant Leon, and the local sheriff.",Prime Video
Barquero,NULL,1970,R,109,"Drama, Western","Lee Van Cleef plays a fiercely independent ferry operator in the American West. Bandit Warren Oates and his gang, with booty acquired from destroying a nearby town, demand passage on the ferry – or else! Mr. Van Cleef declines.",Prime Video
Back to School with Morphle,NULL,2021,ALL,68,"Animation, Kids","Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs, and lions! Your kids will love these fun, and educational videos for kids! Return back to school with Morphle and learn colors, shapes, numbers, the alphabet, and more! Watch these educational and magical cartoons that your kids will surely enjoy!",Prime Video
Atharintiki Daaredi,NULL,2013,13+,175,"Action, Comedy, Drama","Goutham promises his grandfather that he will reunite him with his estranged daughter, Sunanda. Posing as a driver, Goutham enters Sunanda's house but trouble soon follows.",Prime Video
Anacondas: The Hunt For The Blood Orchid,NULL,2004,PG-13,97,"Action, Horror, Suspense","Eight adventurers brave the perilous jungles of Borneo in pursuit of the fountain of youth, unaware they're being stalked by gigantic snakes that feed on human flesh.",Prime Video
Allies,NULL,2014,16+,94,Action,"August 1944. A team of British soldiers led by a US Captain are dropped behind enemy lines in France on a mission that could shorten the war. As nothing goes according to plan, commando Sergeant Harry McBain and Captain Gabriel Jackson know they must put aside personal animosity if the mission is to succeed. Inspired by true events, Allies tells the story of friendship and survival.",Prime Video
All Stars,NULL,2013,PG,103,"Comedy, Kids",Two kids look to throw an ambitious dance show in order to save their struggling youth center.,Prime Video
A Night at the Roxbury,NULL,1998,PG-13,82,"Comedy, Young Adult Audience","Two dim-witted brothers (Chris Kattan, Will Ferrell) dream of owning their own dance club or at least getting into the coolest and most exclusive club in town, The Roxbury.",Prime Video
10 Cent Pistol,NULL,2015,18+,91,"Action, Suspense","A story about two lifelong criminals who maneuver through the shady underbelly of Los Angeles in search of wealth, love and redemption.",Prime Video
The Tomorrow War,United States,2021,PG-13,138,"Action, Adventure, Comedy","Time travelers arrive from 2051 to deliver an urgent message: 30 years in the future mankind is losing a war against a deadly alien species. The only hope for survival is for soldiers and civilians to be transported to the future and join the fight. Determined to save the world for his daughter, Dan Forester teams up with a brilliant scientist and his estranged father to rewrite the planet’s fate.",Prime Video
The Second Bed,NULL,2020,13+,121,"Drama, Romance","While married to Joyce, Sam begins an affair with a colleague at work and intends to marry her. Unpleasant tide of events brings him back to the mercy of the mother of his children as he hopes to shake off the long arms of the law.",Prime Video
The Legend of Sarila,NULL,2013,ALL,82,"Animation, Kids","This is the story of a voyage of initiation in which three young Inuit go in search of a promised land. It is also the story of a fight to the death between two shamans, the young Markussi and the aged Killiq, who feels that his power is threatened. An inspirational tale that uses authentic settings and indigenous mythology in order to capture the world of the Great White North.",Prime Video
SX_Tape,NULL,2014,18+,84,Horror,"What begins as harmless sex games between a free-spirited artist and her videographer boyfriend turns much darker as they break into a boarded up former hospital looking for a space for a new gallery show. As they investigate the building's ominous rooms and passageways, a seductive prank, meaning to arouse and terrify goes terribly wrong - and what is discovered threatens to destroy them both.",Prime Video
Small Faces,NULL,1998,18+,103,Drama,"In the Glasgow of 1968, young teenager Lex Maclean is torn between the artistic life of his middle brother Alan, and the thuggish world of his older sibling, Bobby.",Prime Video
"Ronnie's Quest: The Search for Victoria's Treasure",NULL,2020,16+,75,"Action, Horror","Everybody wants a piece of Ronnie, but why? From her ex-boyfriend, to gangsters, super villains, and her own friends, there's one thing that's true, Ronnie is trouble!",Prime Video
"Priorities Chapter One ""Money Isn't Everything""",NULL,2021,16+,106,Drama,"Follow the lives of four adults who struggle as single parents to care for their children. With no support from the other parents, this inevitably leads them too desperate measures. Their children and the Attorney General's Office - Child Support Division is now their priorities.",Prime Video
"Mila and Morphle's Magical World Adventures",NULL,2019,ALL,45,Kids,"Come and have fun with Mila and Morphle as they go on magical adventures across the land! They get into all sorts of wonderful situations in episodes such as 'Dragon At The Barbecue', 'My Red Submarine', 'My Hot Air Balloon' and lots more!",Prime Video
KiiYii - Learn How To Get Dressed & More Kids Songs,NULL,2020,ALL,30,Kids,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Prime Video
Jack the Reaper,NULL,2013,R,87,Horror,"The reaper, Railroad Jack, has no mercy when it comes to torturing and slaughtering anyone who meets his eye. When a group of teens set out on a school field trip to learn about the industrial revolution, Jack has a different plan in mind for them. Ensuring the teens' school bus crashes on their way back, he lures them to a nearby carnival, where he dares to pick them off one by one.",Prime Video
Grimy,NULL,2021,18+,122,"Action, Drama","GRIMY is the story of an undercover officer named Rogers. Maurandis Berger he is the only one who can get in close enough to these criminals that terrorize neighborhoods with drugs and violence. He is often assigned to neighborhoods that he grew up in, but he finds himself becoming part of the problem as he almost becomes what he's trying to bring down.",Prime Video
Getting Ready for School - Kids Songs,NULL,2021,ALL,36,Kids,"Little Baby Bum is a fun, educational children's nursery rhyme channel watched globally by kids. Learn colors, shapes, numbers, the alphabet, and more in this 'Getting Ready for School' Video! Sing along to some of the classic nursery! We also have original songs or watch these educational cartoons that your kids will surely enjoy!",Prime Video
Eggy,NULL,2015,ALL,82,"Action, Animation, Kids","It's everyone's favorite time of year in the magical town of Puff! It's a time for best pals Eggy and Top Hat to hop around with their furry friends, and take part in exciting new adventures. But when the evil Crow Witch tries to ruin their big party, the animals put all their eggs in one basket and begin their hunt to save the town!",Prime Video
Drama Drama,NULL,2021,PG-13,104,"Arts, Entertainment, and Culture, Young Adult Audience","The most unlikely pairing of teen-age girls end up bonding to form the pop group Drama Drama, and make a stand against bullying in their high school.",Prime Video
Crossroads,NULL,2020,16+,115,"Action, Drama","When Temi, the gorgeous wife of a high-profile senator is robbed, four suspects are quickly apprehended and arrested. Senior detective, on the eve of his retirement, risks his reputation when he suspects there is more to the story. High-powered political intrigue clashes with gritty street violence and the prospect of deep corruption.",Prime Video
CASE 219,NULL,2021,13+,93,Drama,"Seventeen-year-old Leonard Grey went on a high school shooting rampage killing one student and injuring scores more before turning the gun on himself. Using documentary style interviews CASE 219, based on Walter Dean Myers' award-winning novel, Shooter, examines the interconnected relationships between the shooter, his friends, their tormentors at school, and their parents.",Prime Video
"Bigger, Stronger, Faster",NULL,2008,PG-13,107,Arthouse,"In the hopes of exploring American culture's increased obsession with winning, documentary filmmaker Christopher Bell examines the anabolic steroid use of his two brothers.",Prime Video
Baikunth,NULL,2021,18+,70,Kids,"The story is about prevalent caste problem, economical inequality & degraded family values among villages in India.",Prime Video
Amar Shaheed Bhagat Singh,NULL,1973,13+,131,Drama,"Amar Shaheed Bhagat Singh is a biopic movie based on the life of Shaheed Bhagat Singh. The hardships faced by this freedom fighter for our country, is well portrayed in this film.",Prime Video
"A Girl's Best Friend",NULL,2015,7+,88,"Action, Kids","Penelope, better known as Polka-Dot, is a spunky young girl who has a knack for helping people, particularly her ailing mother. While out looking for a part-time job, Polka-Dot befriends a hard-nosed police officer and his tracking dog, Luey. When Polka-Dot's mother's condition worsens, Luey helps Polka-Dot find the strength and faith inside to help her move forward.",Prime Video
1939: Westerplatte,NULL,2013,18+,119,"Action, Drama","September 1st, 1939. German battleship Schleswig-Holstein marks the start of World War II by firing on the garrison stationed at the Westerplatte peninsula in Poland.",Prime Video
Wild Kratts: Creatures of the Deep Sea,NULL,2016,G,50,Kids,"Aboard Aviva's newly designed Deep Sea Explorer, the Wild Kratts team ventures to the last creature frontier -the Deep Sea. The challenges of the deep are many, and when ultimately they are forced to make a decision, the Wild Kratts must decide what is truly important.",Prime Video
When A Stranger Calls,NULL,2006,PG-13,87,"Horror, Suspense",Fear turns to horror when a 16-year-old babysitter realizes a series of frightening phone calls that threaten the sleeping children are coming from within the house itself.,Prime Video
Vanishing on 7th Street,NULL,2010,R,91,"Drama, Horror, Suspense","In this horrifying thriller a strange blackout causes a city's population to vanish. As the days grow shorter a handful of survivors realize their only hope is to escape the haunted darkness. Starring Hayden Christensen.",Prime Video
The Stepfather,NULL,2009,PG-13,101,"Horror, Suspense","When a teenager returns home from military school, he begins to suspect his mother's new boyfriend is not the charming man he appears to be in this riveting, psychological thriller.",Prime Video
The Healing Garden,NULL,2021,NULL,96,"Drama, Special Interest","An aging military chaplain and a young girl from a broken home join forces to plant a miracle garden touched by God. The Healing Garden is a faith-based film, laced with warmth and comedy. It celebrates the healing of families and communities through faith.",Prime Video
The Girl With The Dragon Tattoo,"United States, Sweden, Norway",2011,R,158,"Action, Drama, Suspense","Disgraced journalist Mikael Blomkvist (Daniel Craig) accepts an invitation to investigate a forty year old unsolved murder by Swedish industrialist Henrik Vanger (Christopher Plummer). Meanwhile, tattooed hacker Lisbeth Salander (Rooney Mara), hired to investigate Blomkvist, discovers the truth behind his fall from grace. Thrown together by fate, the duo tap into a vein of unfathomable iniqui..",Prime Video
Supa Strikas - Game On,NULL,2019,7+,60,"Animation, Kids, Sports","About the world's greatest football team. Despite their enormous talent, the players must adapt in a game where being the best is only the beginning, and where the opposition is always full of surprises.",Prime Video
Supa Strikas - Born to Play Soccer,NULL,2019,ALL,60,"Animation, Documentary, Kids",Get into the rhythm before every game with your all-time favourite football players! Join their every move and win every exciting game as they play against other teams!,Prime Video
Supa Strikas - A Team Above All,NULL,2019,7+,60,"Animation, Kids, Sports","About the world's greatest football team. Despite their enormous talent, the players must adapt in a game where being the best is only the beginning, and where the opposition is always full of surprises.",Prime Video
"Steve Brown: Yeah, I Talk Like This",NULL,2015,18+,56,"Arts, Entertainment, and Culture, Comedy, Special Interest","Live from New York, Steve Brown brings his high-pitched, high-energy voice to his hilarious first comedy special, Yeah, I Talk Like This. Detroit born and Southern raised, Steve brings soulful humor and antics to create hilariously inventive characters that we can all relate to.",Prime Video
Return To Treasure Island,NULL,1954,7+,75,Action,A descendant of Jim Hawkins visits Treasure Island with a priceless map.,Prime Video
Return to Paradise,NULL,1953,7+,89,Drama,"Based on a James Michener story, this authentic tale stars Gary Cooper as an embittered islander who abandons his harsh treatment of natives after a beautiful island girl (Roberta Haynes) wins his heart.",Prime Video
Ramona and Beezus,NULL,2010,G,104,Kids,"The adventures of young Ramona Quimby (newcomer Joey King) and her big sister Beezus (Selena Gomez) come to life in this all new film based on the best-selling books by Beverly Cleary. Ramona's vivid imagination, boundless energy, and accident-prone antics keep everyone she meets on their toes. But her irrepressible sense of fun, adventure and mischief come in handy when she puts her mind to helping save her family's home.",Prime Video
Playback,NULL,2012,R,99,Horror,"A group of high school students digging into their town's dark past unearth a chilling secret, releasing an evil spirit that possesses its victims in this frightening thriller featuring Christian Slater.",Prime Video
Minority Report,United States,2002,PG-13,145,"Drama, Science Fiction","Set in Washington D.C. in 2054, where police utilize a psychic technology to arrest and convict murderers before they commit their crime. Tom Cruise plays the head of this Precrime unit and is himself accused of the future murder of a man he hasn't even met.",Prime Video
Love Is A Ball,NULL,1963,7+,113,Comedy,"Charles Boyer zestfully portrays a (self-appointed) matchmaker on the French Riviera, conducting a lively cast on a slippery road to Romance.",Prime Video
Kims of Comedy,NULL,2005,18+,63,"Arts, Entertainment, and Culture, Comedy, Special Interest","The Original Kims break new ground with an uncompromising look at Asian culture and some hilarious ethnic hang-ups. Featured are 4 of the top Asian comedians on stage today: Bobby Lee, Kevin Shea, Steve Byrne, and Dr. Ken Jeong.",Prime Video
"I'Ll Take Sweden",NULL,1965,7+,97,Comedy,"Bob Hope will do almost anything to keep his impressionable teenage daughter (Tuesday Weld) from marrying her lazy boyfriend (Frankie Avalon), even if it means moving to Sweden.",Prime Video
Flight From Ashiya,NULL,1964,7+,103,Action,"A U.S./Japanese co-production. Three rescue pilots (Yul Brynner, George Chakiris, Richard Widmark) must overcome their fears, differences and hatreds as they undertake the dangerous rescue of raft-bound Japanese on storm-tossed seas.",Prime Video
"Erik Rivera: I'm No Expert",NULL,2014,18+,61,"Arts, Entertainment, and Culture, Comedy, Special Interest","Charming, charismatic and brutally honest, Erik Rivera is the hilarious best friend we all wish we had. I'm No Expert brings his talents center stage as he riffs on relationships, fatherhood and his eccentric extended family.",Prime Video
Cold Case,NULL,2021,16+,140,Action,"Cold Case is a hybrid genre film of a crime investigation story and a horror story running parallel. Sathyajith, Assistant Commissioner of Police, along with his team is assigned to handle controversial and complicated cases. One day, while fishing on a lake side, a man finds a garbage bag trapped inside his net.The story revolves how the ACP investigate the case and find out the killer.",Prime Video
By Love Possessed,NULL,1961,7+,116,Drama,"Lana Turner and Jason Robards star in a drama of passion and propriety as blue-blooded pillars of a small New England town who must face their defiant son's (George Hamilton) increasingly rebellious behavior.",Prime Video
Arpo the Robot for All Kids - Arpo is Fired & More Robot Kids Cartoons,NULL,2020,ALL,22,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!",Prime Video
Unprescribed,NULL,2020,18+,71,Documentary,"Amid the opioid and suicide crises increasing numbers of veterans are turning to cannabis as a safer alternative to pharmaceuticals. We've been told that marijuana bad, it's a gateway drug, only to learn we've been systematically lied to through government controlled propaganda. Despite government pushback experts like Dr. Sue Sisley continue to seek answers to the question, 'is marijuana safe?'",Prime Video
The Wake of Light,NULL,2021,7+,80,"Drama, Romance","Mary has spent her entire life caring for her aging father after he suffered a stroke when she was a little girl. One day, Mary meets Cole (Matt Bush from TV's ""The Goldbergs""), a young man passing through town on a cross-country road trip. Cole falls for Mary and asks her to leave home and join him on his journey. Mary must choose between the responsibility to her father or a chance at love.",Prime Video
Stay As You Are,NULL,1979,R,105,Drama,"Marcello Mastroianni is an architect in this May-December erotic romance; he meets a young, beautiful girl, and then learns she might be his daughter.",Prime Video
Sherlock Holmes - Dressed to Kill,NULL,1946,16+,72,Drama,"Sherlock Holmes sets out to discover why a trio of murderous villains, including a dangerously attractive female, are desperate to obtain three unassuming and inexpensive little music boxes.",Prime Video
Saint Seiya 4: Warriors of the Final Holy Battle,NULL,1989,13+,45,"Action, Science Fiction","Lucifer has been awoken from his eternal slumber by the spirits of Eris, Abel and Poseidon. He has come to kill Athena and fulfill his heart's burning desire: becoming the strongest of all the gods.",Prime Video
Saint Seiya 3: Legend of Crimson Youth,NULL,1988,13+,75,"Action, Science Fiction","Seiya and the Bronze Saints face their most dangerous foe yet: Athena's lost brother, the Sun God Apollo.",Prime Video
Saint Seiya 2: The Heated Battle of the Gods,NULL,1988,13+,46,"Action, Science Fiction",The Bronze Saints of the Sanctuary visit Asgard to battle it out with the God Warriors of Odin. Nuff said.,Prime Video
"Piercing Stillness (L'Immobilità Trafigge)",NULL,2019,ALL,5,"Arthouse, Comedy, Horror","A relaxing walk in the countryside unexpectedly turns into a mystery. When a filmmaker starts to shoot images of an abandoned mannequin, the ghosts of a distant past begin to haunt him: flashbacks of pierced butterflies, phantoms, chimeras... With a sudden twist, the artist and his memories are struck by the stillness of a surreal destiny.",Prime Video
Nursery Rhymes by KiiYii Vol 2 - Animals (Made By Little Baby Bum!),NULL,2018,ALL,49,Kids,"A 49-minute compilation with someone the most popular nursery rhymes, like 10 Little Animals, Zoo Song, and lots more original KiiYii educational songs brought to you by Little Baby Bum!",Prime Video
"Naomi's Journey",NULL,2020,18+,92,"Arthouse, Drama","21 year old Naomi lives a simple life with her younger siblings in Peru. Only her big sister seems to live a life of fortune, being married in Germany. But now she is dead, murdered by her German husband. Stunned by the news, Naomi accompanies her mother to Germany, the land of the crime, to become a joint plaintiff, and take part in the trial in Berlin.",Prime Video
