,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Platform
2921,s2922,TV Show,Canada: A Year In The Wild,,David Suchet,,,2018,13+,1 Season,Documentary,"Canada is the second-largest country on Earth, and the quintessential wilderness. Vast, dangerous, and magnificent; it's a land of towering mountains, endless forests, untamed rivers, enchanting lakes, and an awe-inspiring frozen north.",Prime Video
2923,s2924,TV Show,Camp X and the Birth of the CIA,,,,,2014,16+,1 Season,"Documentary, Drama, Special Interest","From the BBC. This series tells the story of North America's first secret agent training school, its role in defeating Hitler's Axis powers during World War Two, and its contribution to modern espionage. Demonstrations of training techniques, first person accounts, and dramatic recreations of their exploits behind enemy lines give us an exclusive look into the school of 'mayhem and murder'.",Prime Video
2927,s2928,TV Show,Call Santa,,Amazon Kids,,,2020,ALL,2 Seasons,"Animation, Kids","Give Santa Claus a ring! This holiday, you can help decorate the tree with Santa's elves, learn to laugh just like Santa, and even dance the Sleigh Bell Shimmy! With Christmas cheer at the heart of every story, these festive adventures aim to have your family ho-ho-ho-ing along with Santa and his friends.",Prime Video
2928,s2929,TV Show,Call of The Wild,,"Nick Mancuso, Shane Meier, Rachel Hayward, Kathleen Duborg, Crystal Buble, Ben Cardinal, Bill MacDonald, Kavic",,,2000,TV-Y7,1 Season,"Action, Adventure, Drama","Jack London's beloved story is brought to life in a delightful adventure series for the whole family. This TV series follows a 15-year-old boy living in an Alaskan mining town at the turn of the century whose life changes forever when he encounters a heroic and powerful dog named Buck, who together battle natures toughest elements, stand up against hardened criminals and rescue people in danger.",Prime Video
2930,s2931,TV Show,Caligula,,"Koji Higashino, Koji Imada",,,2018,13+,1 Season,"Comedy, International, Unscripted","""Caligula"" is a psychological phenomenon in which you want do things that are prohibited. Featured here are numerous pitches rejected by multiple TV stations. However, there are some treasures buried among them. Proposals once buried in the darkness revived here! (C) YD Creation",Prime Video
2931,s2932,TV Show,Cajun Pawn Stars,,,,,2013,TV-14,4 Seasons,TV Shows,"Small-town life means big-time business in the newest HISTORY's series Cajun Pawn Stars. Follow Jimmie ""Big Daddy"" Deramus, owner of the largest pawn shop in Louisiana.",Prime Video
2932,s2933,TV Show,Caillou,,"Evan Smirnow, Ellen David, Jennifer Seguin, Merlee Shapiro, Pat Fry, Annie Bovaird, Jesse Vinet, Bob Stutt, Pauline Little, Melissa Pirrera, Al Gravelle, George Morris, Graeme Jokic, Pier Paquette, Sofie Holland, Matt Ficner, Brigid Tierney, Raquel Trinidad, Jaclyn Linetsky, Bryn McAuley, Ryan Tilson, Tim Gosley, Tyler Brody Stein, Vanessa Lengies, Cara Reynolds, Dallas Jokic, Jessica Kardos, François Sasseville, Holly Gauthier-Frankel, Claudie Verdant, Sarah Johnson, Steve Songs, Matt Fincer, David Tyler, Johanne Garneau, Sannie Bovaird, Addison Holley, Helen King, Melissa Pirerra, Diane Arcand, Madeleine Arsenault, Charlotte Bernard, Violette Chauveau, Hugolin Chevrette-Landesque, Claudia-Laurie Corbeil, Nathalie Coupal, Louis Philippe Dandenault, Mario Desmarais, Sophie Faucher, Gilbert Lachance, Sophie Léger",,,2010,TV-G,1 Season,Kids,"Join Caillou as he explores everyday life, where ordinary daily events spark his and your child's imagination.",Prime Video
2939,s2940,TV Show,Busytown Mysteries,,"Kevin Dennis, Joanne Vannicola, Paul Wensley, Ellie Ellwand, Julie Lemieux, Richard Binsley",,,2009,ALL,1 Season,"Animation, Kids","Curiosities are everywhere in Busytown and so are Huckle Cat, Lowly Worm, Sally Cat, Hilda Hippo plus Pig Will and Pig Won't. Each episode is an innovative blend of humor and learning based around six unforgettable friends and many other colorful characters from the amazing world of Richard Scarry's books.",Prime Video
2940,s2941,TV Show,Busy World of Richard Scarry,,,,,1996,TV-Y7,5 Seasons,"Animation, Kids",This fully animated series is based on the books by Richard Scarry which parents worldwide rely on to teach valuable lessons.,Prime Video
2941,s2942,TV Show,Burn Notice,,"Bruce Campbell, Kiele Sanchez, RonReaco Lee",,,2011,TV-PG,8 Seasons,Drama,"Before Sam Axe teamed up with Michael and Fiona, he was Commander Axe, U.S. Navy SEAL. The Fall of Sam Axe tells the story of how Sam went from respected Naval Commander to the man of mystery we've come to know on Burn Notice.",Prime Video
